train_regime,test_regime,variant,event,rmse,mae,n
2014,2012,treatment,non_event,82.62057274916664,61.645872120318025,7216
2014,2013,control,hss_event,104.72662621449201,79.61142317090149,1922
2014,2013,control,non_event,81.13913538119743,62.74129313756099,6725
2014,2013,treatment,hss_event,104.33174691593078,80.48254043626736,1922
2014,2013,treatment,non_event,80.92266275315293,61.651174248337306,6725
2014,2015,control,hss_event,115.0121670012921,93.71322533767467,1836
2014,2015,control,non_event,85.87374244350113,66.84746692113144,6924
2014,2015,treatment,hss_event,107.5386917534295,87.14951934482018,1836
2014,2015,treatment,non_event,89.03257697584586,71.65994602073347,6924
2014,2016,control,hss_event,102.89010243158215,80.7699113308577,3252
2014,2016,control,non_event,84.14021958918505,68.36588248050144,5377
2014,2016,treatment,hss_event,109.2671253753927,86.51707695917597,3252
2014,2016,treatment,non_event,87.53613010036847,72.24070261011164,5377
2014,2017,control,hss_event,124.79839866149136,101.19922771548158,3843
2014,2017,control,non_event,86.40235571688072,73.27066113276285,4917
2014,2017,treatment,hss_event,123.75603603064195,100.04611480022017,3843
2014,2017,treatment,non_event,93.23393174860493,81.23899776450206,4917
2014,2018,control,hss_event,92.85095469025632,72.14938224949715,3251
2014,2018,control,non_event,64.0266912211774,54.799022038200626,5509
2014,2018,treatment,hss_event,97.1974926772578,76.35930736568736,3251
2014,2018,treatment,non_event,64.2562991276282,54.881872604018355,5509
2014,2019,control,hss_event,88.99453959127453,66.00499423691795,3116
2014,2019,control,non_event,62.82442878319301,55.31008345011191,5644
2014,2019,treatment,hss_event,94.0756603684736,70.07607064596037,3116
2014,2019,treatment,non_event,60.89601916277182,53.246460263734164,5644
2014,2020,control,hss_event,93.58567743859491,68.57298544488644,2998
2014,2020,control,non_event,66.35927191050966,59.16180422031628,5786
2014,2020,treatment,hss_event,89.3728969662845,64.62250101955992,2998
2014,2020,treatment,non_event,71.86185837354547,64.69612341523789,5786
2015,2010,control,hss_event,94.69734386235938,75.63498966700594,1775
2015,2010,control,non_event,66.67747115774085,55.7661686505423,3361
2015,2010,treatment,hss_event,95.54986621952317,76.54533626072843,1775
2015,2010,treatment,non_event,68.93680460247535,58.2447622992105,3361
2015,2011,control,hss_event,88.74025637193895,68.24407193966067,1835
2015,2011,control,non_event,82.03556291372766,67.05343673320453,6925
2015,2011,treatment,hss_event,84.88957263632896,65.80369942896372,1835
2015,2011,treatment,non_event,82.83431875175356,68.40674222980596,6925
2015,2012,control,hss_event,78.59474131629412,60.629266271785816,1568
2015,2012,control,non_event,77.74262726152534,60.43517815194479,7216
2015,2012,treatment,hss_event,83.46802848006294,63.65380016638308,1568
2015,2012,treatment,non_event,76.98453973324976,59.246428614445115,7216
2015,2013,control,hss_event,83.39914735083886,65.11058708135344,1922
2015,2013,control,non_event,81.75868778773089,64.9669422475822,6725
2015,2013,treatment,hss_event,81.0388762570758,61.999878374272406,1922
2015,2013,treatment,non_event,81.97301193711408,64.97236029529218,6725
2015,2014,control,hss_event,81.07317038915235,57.45278523283185,2120
2015,2014,control,non_event,77.14385978740582,62.38261132757348,6640
2015,2014,treatment,hss_event,80.79525737675326,57.39733118021263,2120
2015,2014,treatment,non_event,76.03349200263096,61.098729108327845,6640
2015,2016,control,hss_event,97.50258150106662,76.40485384895352,3252
2015,2016,control,non_event,84.31475741101782,68.87660211893358,5377
2015,2016,treatment,hss_event,101.79274223049931,80.22930297288508,3252
2015,2016,treatment,non_event,87.47410894608441,72.89152360844838,5377
2015,2017,control,hss_event,94.21618234577073,75.65019592555153,3843
2015,2017,control,non_event,97.90102854129688,86.42255464142262,4917
2015,2017,treatment,hss_event,94.42693697155106,75.97857211785734,3843
2015,2017,treatment,non_event,97.20287224838599,86.50373802161783,4917
2015,2018,control,hss_event,83.98757662632316,64.94214209817953,3251
2015,2018,control,non_event,84.77611783531454,76.75970804654528,5509
2015,2018,treatment,hss_event,82.1683809917203,63.679841561670926,3251
2015,2018,treatment,non_event,85.47518642130119,77.551191949351,5509
2015,2019,control,hss_event,74.97373343021113,57.724750993799645,3116
2015,2019,control,non_event,84.14268865154372,76.01117571662454,5644
2015,2019,treatment,hss_event,75.40596119886501,57.473795654531926,3116
2015,2019,treatment,non_event,85.02251980578922,77.42355904690683,5644
2015,2020,control,hss_event,70.52379035517382,54.33534770046893,2998
2015,2020,control,non_event,97.35654980487534,91.6021159093272,5786
2015,2020,treatment,hss_event,67.15140942153407,53.10368410279705,2998
2015,2020,treatment,non_event,97.80854311889331,92.04280307636597,5786
2016,2010,control,hss_event,84.69989565587451,66.67652666978434,1775
2016,2010,control,non_event,78.11373637355055,64.81703404406996,3361
2016,2010,treatment,hss_event,83.94709982516551,68.16092319542254,1775
2016,2010,treatment,non_event,74.3750096935189,60.2481973926711,3361
2016,2011,control,hss_event,85.86468578591706,67.44640730772096,1835
2016,2011,control,non_event,82.81190697278453,68.08262859688769,6925
2016,2011,treatment,hss_event,87.20634418419023,68.43487227853052,1835
2016,2011,treatment,non_event,83.76198648705842,68.30868870483839,6925
2016,2012,control,hss_event,62.13456667827181,48.501435649638275,1568
2016,2012,control,non_event,94.08845659377512,78.63843922921664,7216
2016,2012,treatment,hss_event,63.80302770953826,49.123857790110065,1568
2016,2012,treatment,non_event,95.75901138232906,80.77597163046015,7216
2016,2013,control,hss_event,74.93679067480933,57.94216945937968,1922
2016,2013,control,non_event,103.89534857404104,90.12744205517397,6725
2016,2013,treatment,hss_event,82.24677894912472,63.39499942966108,1922
2016,2013,treatment,non_event,103.46943230680728,90.50532430769343,6725
2016,2014,control,hss_event,81.33211306500925,57.117545462554354,2120
2016,2014,control,non_event,87.90472779338715,75.52595967671958,6640
2016,2014,treatment,hss_event,83.36841536899385,59.75252551672594,2120
2016,2014,treatment,non_event,90.87068718735807,78.73524753156914,6640
2016,2015,control,hss_event,97.5996981412686,75.89442294251685,1836
2016,2015,control,non_event,87.837210544999,71.9059420607119,6924
2016,2015,treatment,hss_event,96.88408908072421,75.30711790263523,1836
2016,2015,treatment,non_event,87.5412279795171,71.62088549529659,6924
2016,2017,control,hss_event,89.030334637845,71.13750056540503,3843
2016,2017,control,non_event,77.39053391967818,60.477278846925365,4917
2016,2017,treatment,hss_event,88.63833699311034,71.10173157357686,3843
2016,2017,treatment,non_event,78.80837241577633,63.38536054088693,4917
2016,2018,control,hss_event,65.1949668824039,51.69346336568916,3251
2016,2018,control,non_event,80.77586395505666,69.77871089761499,5509
2016,2018,treatment,hss_event,65.81878207088046,52.70869502592952,3251
2016,2018,treatment,non_event,76.75932468816,63.798502436132566,5509
2016,2019,control,hss_event,69.02498933205449,54.6799692685246,3116
2016,2019,control,non_event,61.15862002850932,50.25268769889415,5644
2016,2019,treatment,hss_event,70.63840280260251,56.665923729481534,3116
2016,2019,treatment,non_event,54.73222112644209,43.18391390340198,5644
2016,2020,control,hss_event,72.56901393428663,54.743923103276536,2998
2016,2020,control,non_event,99.50760023540501,93.05785169182786,5786
2016,2020,treatment,hss_event,70.70039963081236,53.53061692821256,2998
2016,2020,treatment,non_event,99.47688976700405,93.00941301142102,5786
2017,2010,control,hss_event,94.3443395751828,75.62187479368397,1775
2017,2010,control,non_event,76.13518388065793,63.53756289835382,3361
2017,2010,treatment,hss_event,94.32053320217142,75.59885878012214,1775
2017,2010,treatment,non_event,77.429227207533,66.74957383441556,3361
2017,2011,control,hss_event,99.50206864892856,76.54535134962534,1835
2017,2011,control,non_event,79.10520080241724,61.88173043702053,6925
2017,2011,treatment,hss_event,98.35246845531071,76.14179607672003,1835
2017,2011,treatment,non_event,79.63476116448224,63.21009177748477,6925
2017,2012,control,hss_event,74.66095167297807,58.334404419879526,1568
2017,2012,control,non_event,82.59732879944492,64.19728613216967,7216
2017,2012,treatment,hss_event,71.76452510544692,56.32189785704321,1568
2017,2012,treatment,non_event,83.59218139055255,65.4168909542312,7216
2017,2013,control,hss_event,84.17582675317072,65.4902013169367,1922
